Weekly U.S. Product Supplied of Finished Motor Gasoline,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFUPUS2&f=W,
18:16:00 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Weekly U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels per Day
12/24/2010,9399
12/17/2010,9213
12/10/2010,9349
12/3/2010,9171
11/26/2010,8867
11/19/2010,8829
11/12/2010,8952
11/5/2010,9056
10/29/2010,9015
10/22/2010,9358
10/15/2010,8891
10/8/2010,8812
10/1/2010,8989
9/24/2010,9383
9/17/2010,8847
9/10/2010,9019
9/3/2010,9263
8/27/2010,9386
8/20/2010,9375
8/13/2010,9459
8/6/2010,9236
7/30/2010,9477
7/23/2010,9632
7/16/2010,9435
7/9/2010,9080
7/2/2010,9449
6/25/2010,9462
6/18/2010,9241
6/11/2010,9338
6/4/2010,9194
5/28/2010,9174
5/21/2010,9099
5/14/2010,9092
5/7/2010,9140
4/30/2010,9282
4/23/2010,9290
4/16/2010,9152
4/9/2010,9325
4/2/2010,9076
3/26/2010,9060
3/19/2010,9087
3/12/2010,8849
3/5/2010,8992
2/26/2010,8882
2/19/2010,9064
2/12/2010,8521
2/5/2010,8766
1/29/2010,8613
1/22/2010,8619
1/15/2010,8602
1/8/2010,8740
1/1/2010,8741
12/25/2009,9074
12/18/2009,9045
12/11/2009,8963
12/4/2009,9012
11/27/2009,8943
11/20/2009,9092
11/13/2009,9015
11/6/2009,8844
10/30/2009,9015
10/23/2009,8858
10/16/2009,8950
10/9/2009,9256
10/2/2009,9269
9/25/2009,9126
9/18/2009,8790
9/11/2009,9001
9/4/2009,9283
8/28/2009,9478
8/21/2009,9105
8/14/2009,9205
8/7/2009,8951
7/31/2009,9199
7/24/2009,9171
7/17/2009,9255
7/10/2009,9163
7/3/2009,9229
6/26/2009,9053
6/19/2009,9129
6/12/2009,9354
6/5/2009,9141
5/29/2009,9020
5/22/2009,9538
5/15/2009,9232
5/8/2009,8911
5/1/2009,8923
4/24/2009,9151
4/17/2009,9136
4/10/2009,8944
4/3/2009,9024
3/27/2009,9125
3/20/2009,9100
3/13/2009,8955
3/6/2009,8972
2/27/2009,9204
2/20/2009,9010
2/13/2009,8908
2/6/2009,9006
1/30/2009,9015
1/23/2009,8650
1/16/2009,8641
1/9/2009,8758
1/2/2009,8990
12/26/2008,9106
12/19/2008,8867
12/12/2008,9175
12/5/2008,9015
11/28/2008,8933
11/21/2008,8844
11/14/2008,8962
11/7/2008,9002
10/31/2008,9095
10/24/2008,9057
10/17/2008,9065
10/10/2008,8894
10/3/2008,8691
9/26/2008,8730
9/19/2008,8741
9/12/2008,8907
9/5/2008,9090
8/29/2008,9424
8/22/2008,9411
8/15/2008,9423
8/8/2008,9446
8/1/2008,9484
7/25/2008,9468
7/18/2008,9342
7/11/2008,9344
7/4/2008,9347
6/27/2008,9357
6/20/2008,9334
6/13/2008,9251
6/6/2008,9411
5/30/2008,9129
5/23/2008,9373
5/16/2008,9359
5/9/2008,9343
5/2/2008,9311
4/25/2008,9189
4/18/2008,9215
4/11/2008,9338
4/4/2008,9286
3/28/2008,9330
3/21/2008,9116
3/14/2008,9071
3/7/2008,9131
2/29/2008,9071
2/22/2008,9045
2/15/2008,9125
2/8/2008,9020
2/1/2008,8916
1/25/2008,8940
1/18/2008,8964
1/11/2008,9116
1/4/2008,9304
12/28/2007,9286
12/21/2007,9446
12/14/2007,9287
12/7/2007,9348
11/30/2007,9266
11/23/2007,9356
11/16/2007,9222
11/9/2007,9187
11/2/2007,9367
10/26/2007,9355
10/19/2007,9373
10/12/2007,9253
10/5/2007,9200
9/28/2007,9120
9/21/2007,9235
9/14/2007,9247
9/7/2007,9393
8/31/2007,9577
8/24/2007,9626
8/17/2007,9762
8/10/2007,9572
8/3/2007,9575
7/27/2007,9662
7/20/2007,9688
7/13/2007,9710
7/6/2007,9663
6/29/2007,9557
6/22/2007,9575
6/15/2007,9591
6/8/2007,9487
6/1/2007,9495
5/25/2007,9485
5/18/2007,9433
5/11/2007,9404
5/4/2007,9344
4/27/2007,9260
4/20/2007,9163
4/13/2007,9247
4/6/2007,9472
3/30/2007,9491
3/23/2007,9250
3/16/2007,9240
3/9/2007,9158
3/2/2007,9191
2/23/2007,9121
2/16/2007,9198
2/9/2007,9061
2/2/2007,9136
1/26/2007,9090
1/19/2007,9008
1/12/2007,9060
1/5/2007,9201
12/29/2006,9247
12/22/2006,9229
12/15/2006,9491
12/8/2006,9394
12/1/2006,9477
11/24/2006,9320
11/17/2006,9149
11/10/2006,9110
11/3/2006,9256
10/27/2006,9499
10/20/2006,9511
10/13/2006,9298
10/6/2006,9242
9/29/2006,9081
9/22/2006,9287
9/15/2006,9229
9/8/2006,9368
9/1/2006,9622
8/25/2006,9610
8/18/2006,9571
8/11/2006,9530
8/4/2006,9697
7/28/2006,9639
7/21/2006,9573
7/14/2006,9569
7/7/2006,9621
6/30/2006,9645
6/23/2006,9540
6/16/2006,9429
6/9/2006,9413
6/2/2006,9367
5/26/2006,9430
5/19/2006,9193
5/12/2006,9327
5/5/2006,9346
4/28/2006,9099
4/21/2006,9012
4/14/2006,9100
4/7/2006,9297
3/31/2006,9063
3/24/2006,9054
3/17/2006,9100
3/10/2006,9106
3/3/2006,9057
2/24/2006,8951
2/17/2006,9046
2/10/2006,9083
2/3/2006,8967
1/27/2006,8879
1/20/2006,8826
1/13/2006,8859
1/6/2006,8950
12/30/2005,9358
12/23/2005,9249
12/16/2005,9326
12/9/2005,9268
12/2/2005,9221
11/25/2005,9189
11/18/2005,9124
11/11/2005,9151
11/4/2005,9246
10/28/2005,9045
10/21/2005,8981
10/14/2005,8961
10/7/2005,8783
9/30/2005,8840
9/23/2005,8836
9/16/2005,8819
9/9/2005,8636
9/2/2005,9027
8/26/2005,9406
8/19/2005,9471
8/12/2005,9408
8/5/2005,9483
7/29/2005,9586
7/22/2005,9449
7/15/2005,9415
7/8/2005,9391
7/1/2005,9721
6/24/2005,9367
6/17/2005,9313
6/10/2005,9528
6/3/2005,9451
5/27/2005,9461
5/20/2005,9443
5/13/2005,9269
5/6/2005,9175
4/29/2005,9024
4/22/2005,9306
4/15/2005,9170
4/8/2005,9089
4/1/2005,9095
3/25/2005,9075
3/18/2005,9069
3/11/2005,9131
3/4/2005,9014
2/25/2005,8884
2/18/2005,8898
2/11/2005,8825
2/4/2005,8837
1/28/2005,8848
1/21/2005,8881
1/14/2005,8695
1/7/2005,8710
12/31/2004,9287
12/24/2004,9329
12/17/2004,9068
12/10/2004,9268
12/3/2004,9107
11/26/2004,9204
11/19/2004,8988
11/12/2004,9237
11/5/2004,9217
10/29/2004,8977
10/22/2004,8883
10/15/2004,9177
10/8/2004,8917
10/1/2004,8915
9/24/2004,8922
9/17/2004,9005
9/10/2004,9234
9/3/2004,9453
8/27/2004,9267
8/20/2004,9424
8/13/2004,9521
8/6/2004,9472
7/30/2004,9263
7/23/2004,9310
7/16/2004,8840
7/9/2004,9300
7/2/2004,9398
6/25/2004,9199
6/18/2004,9194
6/11/2004,9219
6/4/2004,9045
5/28/2004,9259
5/21/2004,9154
5/14/2004,9119
5/7/2004,9373
4/30/2004,8926
4/23/2004,9255
4/16/2004,8973
4/9/2004,9338
4/2/2004,9249
3/26/2004,8731
3/19/2004,8818
3/12/2004,9044
3/5/2004,8968
2/27/2004,8970
2/20/2004,8796
2/13/2004,8727
2/6/2004,8627
1/30/2004,8514
1/23/2004,8543
1/16/2004,8426
1/9/2004,8411
1/2/2004,8686
12/26/2003,8726
12/19/2003,9166
12/12/2003,8930
12/5/2003,8776
11/28/2003,8979
11/21/2003,8725
11/14/2003,9232
11/7/2003,8995
10/31/2003,9316
10/24/2003,9413
10/17/2003,8754
10/10/2003,9156
10/3/2003,9190
9/26/2003,8690
9/19/2003,9166
9/12/2003,8974
9/5/2003,8886
8/29/2003,9337
8/22/2003,9668
8/15/2003,9325
8/8/2003,9381
8/1/2003,9303
7/25/2003,9563
7/18/2003,9177
7/11/2003,8763
7/4/2003,9050
6/27/2003,9476
6/20/2003,8833
6/13/2003,8880
6/6/2003,8529
5/30/2003,8516
5/23/2003,9299
5/16/2003,8992
5/9/2003,8894
5/2/2003,8834
4/25/2003,8358
4/18/2003,8737
4/11/2003,8640
4/4/2003,8458
3/28/2003,8284
3/21/2003,8666
3/14/2003,8596
3/7/2003,9020
2/28/2003,8421
2/21/2003,8619
2/14/2003,8454
2/7/2003,8106
1/31/2003,8551
1/24/2003,8793
1/17/2003,8645
1/10/2003,8335
