Weekly U.S. Ending Stocks excluding SPR of Crude Oil,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WCESTUS1&f=W,
18:56:31 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Weekly U.S. Ending Stocks excluding SPR of Crude Oil Thousand Barrels
12/7/2018,441954
11/30/2018,443162
11/23/2018,450485
11/16/2018,446908
11/9/2018,442057
11/2/2018,431787
10/26/2018,426004
10/19/2018,422787
10/12/2018,416441
10/5/2018,409951
9/28/2018,403964
9/21/2018,395989
9/14/2018,394137
9/7/2018,396194
8/31/2018,401490
8/24/2018,405792
8/17/2018,408358
8/10/2018,414194
8/3/2018,407389
7/27/2018,408740
7/20/2018,404937
7/13/2018,411084
7/6/2018,405248
6/29/2018,417881
6/22/2018,416636
6/15/2018,426527
6/8/2018,432441
6/1/2018,436584
5/25/2018,434512
5/18/2018,438132
5/11/2018,432354
5/4/2018,433758
4/27/2018,435955
4/20/2018,429737
4/13/2018,427567
4/6/2018,428638
3/30/2018,425332
3/23/2018,429949
3/16/2018,428306
3/9/2018,430928
3/2/2018,425906
2/23/2018,423498
2/16/2018,420479
2/9/2018,422095
2/2/2018,420254
1/26/2018,418359
1/19/2018,411583
1/12/2018,412654
1/5/2018,419515
12/29/2017,424463
12/22/2017,431882
12/15/2017,436491
12/8/2017,442986
12/1/2017,448103
11/24/2017,453713
11/17/2017,457142
11/10/2017,458997
11/3/2017,457143
10/27/2017,454906
10/20/2017,457341
10/13/2017,456485
10/6/2017,462216
9/29/2017,464963
9/22/2017,470986
9/15/2017,472832
9/8/2017,468241
9/1/2017,462353
8/25/2017,457773
8/18/2017,463165
8/11/2017,466492
8/4/2017,475437
7/28/2017,481888
7/21/2017,483415
7/14/2017,490623
7/7/2017,495350
6/30/2017,502914
6/23/2017,509213
6/16/2017,509095
6/9/2017,511546
6/2/2017,513207
5/26/2017,509912
5/19/2017,516340
5/12/2017,520772
5/5/2017,522525
4/28/2017,527772
4/21/2017,528702
4/14/2017,532343
4/7/2017,533377
3/31/2017,535543
3/24/2017,533977
3/17/2017,533110
3/10/2017,528156
3/3/2017,528393
2/24/2017,520184
2/17/2017,518683
2/10/2017,518119
2/3/2017,508592
1/27/2017,494762
1/20/2017,488296
1/13/2017,485456
1/6/2017,483109
12/30/2016,479012
12/23/2016,486063
12/16/2016,485449
12/9/2016,483193
12/2/2016,485756
11/25/2016,488145
11/18/2016,489029
11/11/2016,490284
11/4/2016,485010
10/28/2016,482578
10/21/2016,468158
10/14/2016,468711
10/7/2016,473958
9/30/2016,469108
9/23/2016,472084
9/16/2016,473966
9/9/2016,480166
9/2/2016,480725
8/26/2016,495238
8/19/2016,492962
8/12/2016,490461
8/5/2016,492969
7/29/2016,491914
7/22/2016,490501
7/15/2016,488830
7/8/2016,491172
7/1/2016,493718
6/24/2016,495941
6/17/2016,499994
6/10/2016,500911
6/3/2016,501844
5/27/2016,504205
5/20/2016,505571
5/13/2016,509797
5/6/2016,508487
4/29/2016,512095
4/22/2016,509311
4/15/2016,507312
4/8/2016,505232
4/1/2016,498598
3/25/2016,503816
3/18/2016,501517
3/11/2016,492160
3/4/2016,490843
2/26/2016,486699
2/19/2016,476325
2/12/2016,472823
2/5/2016,470676
1/29/2016,471344
1/22/2016,463552
1/15/2016,455169
1/8/2016,451190
1/1/2016,450956
12/25/2015,455106
12/18/2015,452477
12/11/2015,458354
12/4/2015,453553
11/27/2015,457212
11/20/2015,456035
11/13/2015,455074
11/6/2015,454822
10/30/2015,450841
10/23/2015,447994
10/16/2015,444618
10/9/2015,436590
10/2/2015,429028
9/25/2015,425988
9/18/2015,422033
9/11/2015,423958
9/4/2015,426062
8/28/2015,423657
8/21/2015,418990
8/14/2015,424442
8/7/2015,421822
7/31/2015,423226
7/24/2015,427633
7/17/2015,431836
7/10/2015,429368
7/3/2015,433714
6/26/2015,433223
6/19/2015,430837
6/12/2015,435771
6/5/2015,438447
5/29/2015,444464
5/22/2015,446412
5/15/2015,449214
5/8/2015,451888
5/1/2015,454079
4/24/2015,458181
4/17/2015,456271
4/10/2015,450956
4/3/2015,449662
3/27/2015,437983
3/20/2015,433217
3/13/2015,425047
3/6/2015,415425
2/27/2015,410246
2/20/2015,399943
2/13/2015,391516
2/6/2015,383800
1/30/2015,379473
1/23/2015,373140
1/16/2015,364266
1/9/2015,354195
1/2/2015,348806
12/26/2014,352979
12/19/2014,354733
12/12/2014,347466
12/5/2014,348313
11/28/2014,347015
11/21/2014,350704
11/14/2014,348758
11/7/2014,346150
10/31/2014,348935
10/24/2014,348475
10/17/2014,346414
10/10/2014,339303
